participant,trial,chartType,truePercent,reportedPercent,error
p1,1,bar,60,55,2.3576
p1,2,stackedbar,57,50,2.8329
p1,3,bar,73,70,1.6439
p1,4,stackedbar,48,20,4.8138
p1,5,bar,27,25,1.0875
p1,6,stackedbar,18,10,3.0224
p1,7,pie,18,5,3.7142
p1,8,pie,88,90,1.0875
p1,9,bar,40,40,0.0
p1,10,bar,68,70,1.0875
p1,11,pie,53,50,1.6439
p1,12,stackedbar,12,5,2.8329
p1,13,pie,92,100,3.0224
p1,14,pie,37,25,3.5999
p1,15,pie,85,75,3.3399
p1,16,pie,97,100,1.6439
p1,17,stackedbar,66,50,4.0112
p1,18,pie,39,33,2.6147
p1,19,bar,20,20,0.0
p1,20,stackedbar,40,33,2.8329
p1,21,bar,75,75,0.0
p1,22,bar,16,20,2.0444
p1,23,stackedbar,67,50,4.098
p1,24,bar,91,95,2.0444
p1,25,bar,61,60,0.1699
p1,26,stackedbar,14,10,2.0444
p1,27,pie,77,85,3.0224
p1,28,bar,23,20,1.6439
p1,29,stackedbar,31,25,2.6147
p1,30,bar,67,65,1.0875
p1,31,stackedbar,54,50,2.0444
p1,32,bar,78,80,1.0875
p1,33,pie,66,70,2.0444
p1,34,bar,91,85,2.6147
p1,35,stackedbar,86,90,2.0444
p1,36,pie,89,90,0.1699
p1,37,pie,19,15,2.0444
p1,38,pie,97,100,1.6439
p1,39,bar,80,75,2.3576
p1,40,stackedbar,99,100,0.1699
p1,41,pie,92,100,3.0224
p1,42,stackedbar,87,85,1.0875
p1,43,stackedbar,72,75,1.6439
p1,44,bar,88,80,3.0224
p1,45,pie,86,90,2.0444
p1,46,stackedbar,55,50,2.3576
p1,47,pie,76,65,3.4757
p1,48,stackedbar,85,65,4.3309
p1,49,stackedbar,27,20,2.8329
p1,50,bar,53,55,1.0875
p1,51,pie,28,15,3.7142
p1,52,pie,60,60,0.0
p1,53,pie,15,15,0.0
p1,54,stackedbar,80,65,3.9189
p1,55,stackedbar,67,60,2.8329
p1,56,stackedbar,45,33,3.5999
p1,57,bar,75,75,0.0
p1,58,bar,55,55,0.0
p1,59,pie,65,50,3.9189
p1,60,bar,54,60,2.6147
p2,1,stackedbar,26,20,2.6147
p2,2,stackedbar,61,80,4.2574
p2,3,pie,37,35,1.0875
p2,4,pie,95,90,2.3576
p2,5,bar,16,20,2.0444
p2,6,pie,77,85,3.0224
p2,7,stackedbar,46,45,0.1699
p2,8,bar,77,90,3.7142
p2,9,stackedbar,77,80,1.6439
p2,10,stackedbar,52,45,2.8329
p2,11,stackedbar,46,45,0.1699
p2,12,pie,35,20,3.9189
p2,13,bar,22,20,1.0875
p2,14,bar,64,70,2.6147
p2,15,pie,43,50,2.8329
p2,16,pie,53,50,1.6439
p2,17,stackedbar,89,75,3.8202
p2,18,bar,26,30,2.0444
p2,19,stackedbar,80,90,3.3399
p2,20,stackedbar,77,85,3.0224
p2,21,pie,68,65,1.6439
p2,22,stackedbar,33,30,1.6439
p2,23,stackedbar,56,35,4.4009
p2,24,bar,77,80,1.6439
p2,25,pie,81,70,3.4757
p2,26,pie,81,70,3.4757
p2,27,bar,24,20,2.0444
p2,28,pie,65,80,3.9189
p2,29,bar,20,20,0.0
p2,30,bar,68,65,1.6439
p2,31,stackedbar,46,40,2.6147
p2,32,bar,92,95,1.6439
p2,33,pie,55,60,2.3576
p2,34,stackedbar,94,99,2.3576
p2,35,pie,67,85,4.1799
p2,36,pie,25,18,2.8329
p2,37,stackedbar,30,25,2.3576
p2,38,bar,23,25,1.0875
p2,39,bar,69,70,0.1699
p2,40,bar,18,22,2.0444
p2,41,pie,37,34,1.6439
p2,42,stackedbar,52,40,3.5999
p2,43,bar,54,45,3.1898
p2,44,stackedbar,61,45,4.0112
p2,45,bar,60,60,0.0
p2,46,stackedbar,74,80,2.6147
p2,47,pie,86,90,2.0444
p2,48,bar,86,82,2.0444
p2,49,bar,52,45,2.8329
p2,50,bar,61,60,0.1699
p2,51,stackedbar,37,30,2.8329
p2,52,pie,28,20,3.0224
p2,53,stackedbar,60,50,3.3399
p2,54,bar,70,68,1.0875
p2,55,pie,35,33,1.0875
p2,56,pie,86,90,2.0444
p2,57,pie,84,90,2.6147
p2,58,stackedbar,69,80,3.4757
p2,59,bar,29,26,1.6439
p2,60,pie,93,99,2.6147
p3,1,pie,94,0,6.5565
p3,2,pie,15,20,2.3576
p3,3,bar,41,50,3.1898
p3,4,pie,90,90,0.0
p3,5,stackedbar,23,20,1.6439
p3,6,stackedbar,19,30,3.4757
p3,7,stackedbar,53,50,1.6439
p3,8,pie,78,10,6.0901
p3,9,pie,46,30,4.0112
p3,10,stackedbar,95,0,6.5718
p3,11,bar,51,50,0.1699
p3,12,stackedbar,92,0,6.5255
p3,13,stackedbar,16,80,6.0028
p3,14,pie,61,10,5.676
p3,15,stackedbar,34,20,3.8202
p3,16,bar,85,10,6.2312
p3,17,bar,79,5,6.2119
p3,18,pie,46,30,4.0112
p3,19,bar,76,10,6.0471
p3,20,stackedbar,56,30,4.7074
p3,21,stackedbar,36,30,2.6147
p3,22,bar,50,50,0.0
p3,23,pie,67,10,5.8361
p3,24,stackedbar,69,20,5.6184
p3,25,stackedbar,28,10,4.1799
p3,26,bar,16,80,6.0028
p3,27,bar,98,2,6.5868
p3,28,stackedbar,25,10,3.9189
p3,29,stackedbar,37,33,2.0444
p3,30,bar,64,10,5.7582
p3,31,stackedbar,22,60,5.2527
p3,32,bar,27,20,2.8329
p3,33,bar,87,5,6.3597
p3,34,stackedbar,99,0,6.6312
p3,35,stackedbar,53,20,5.0498
p3,36,pie,98,0,6.6165
p3,37,pie,31,30,0.1699
p3,38,pie,47,20,4.7616
p3,39,pie,93,10,6.3772
p3,40,pie,27,40,3.7142
p3,41,bar,97,0,6.6018
p3,42,stackedbar,48,10,5.2527
p3,43,pie,38,60,4.4676
p3,44,pie,35,20,3.9189
p3,45,bar,67,5,5.9571
p3,46,pie,44,20,4.5925
p3,47,bar,44,40,2.0444
p3,48,bar,31,70,5.29
p3,49,bar,87,10,6.2691
p3,50,bar,61,20,5.3619
p3,51,bar,74,15,5.8857
p3,52,pie,13,70,5.8361
p3,53,pie,37,40,1.6439
p3,54,bar,60,60,0.0
p3,55,stackedbar,49,40,3.1898
p3,56,stackedbar,42,30,3.5999
p3,57,bar,95,0,6.5718
p3,58,pie,22,80,5.8611
p3,59,stackedbar,22,60,5.2527
p3,60,pie,21,80,5.8857
p4,1,pie,90,0,6.4939
p4,2,stackedbar,61,20,5.3619
p4,3,pie,32,30,1.0875
p4,4,pie,40,80,5.3264
p4,5,bar,86,10,6.2503
p4,6,pie,77,10,6.0688
p4,7,stackedbar,61,70,3.1898
p4,8,stackedbar,59,60,0.1699
p4,9,stackedbar,22,80,5.8611
p4,10,stackedbar,33,80,5.5584
p4,11,stackedbar,57,90,5.0498
p4,12,stackedbar,34,80,5.5275
p4,13,bar,74,30,5.4635
p4,14,stackedbar,32,70,5.2527
p4,15,stackedbar,48,70,4.4676
p4,16,pie,48,30,4.1799
p4,17,pie,31,90,5.8857
p4,18,stackedbar,47,75,4.8138
p4,19,stackedbar,61,50,3.4757
p4,20,pie,88,0,6.4615
p4,21,bar,45,40,2.3576
p4,22,bar,90,10,6.3242
p4,23,stackedbar,18,90,6.1724
p4,24,bar,86,10,6.2503
p4,25,pie,60,50,3.3399
p4,26,pie,56,50,2.6147
p4,27,bar,15,80,6.0251
p4,28,pie,70,80,3.3399
p4,29,pie,53,50,1.6439
p4,30,bar,99,0,6.6312
p4,31,stackedbar,70,50,4.3309
p4,32,pie,33,70,5.2143
p4,33,stackedbar,53,75,4.4676
p4,34,bar,62,30,5.0056
p4,35,pie,50,40,3.3399
p4,36,bar,71,30,5.3619
p4,37,stackedbar,83,20,5.9801
p4,38,bar,65,15,5.6475
p4,39,pie,79,45,5.0928
p4,40,stackedbar,15,90,6.2312
p4,41,bar,58,30,4.8138
p4,42,pie,74,15,5.8857
p4,43,bar,93,5,6.4615
p4,44,bar,86,25,5.9337
p4,45,pie,52,50,1.0875
p4,46,bar,60,60,0.0
p4,47,pie,53,60,2.8329
p4,48,bar,17,80,5.9801
p4,49,bar,66,40,4.7074
p4,50,stackedbar,57,50,2.8329
p4,51,stackedbar,33,30,1.6439
p4,52,stackedbar,38,40,1.0875
p4,53,bar,56,50,2.6147
p4,54,bar,75,29,5.5275
p4,55,pie,13,90,6.2691
p4,56,bar,48,50,1.0875
p4,57,stackedbar,58,50,3.0224
p4,58,pie,38,60,4.4676
p4,59,pie,54,40,3.8202
p4,60,bar,55,50,2.3576
p5,1,pie,95,85,3.3399
p5,2,pie,37,40,1.6439
p5,3,stackedbar,61,30,4.96
p5,4,bar,60,65,2.3576
p5,5,pie,85,95,3.3399
p5,6,pie,77,80,1.6439
p5,7,pie,88,80,3.0224
p5,8,bar,67,60,2.8329
p5,9,bar,68,70,1.0875
p5,10,stackedbar,46,40,2.6147
p5,11,pie,76,80,2.0444
p5,12,pie,76,70,2.6147
p5,13,bar,23,20,1.6439
p5,14,bar,23,30,2.8329
p5,15,stackedbar,80,80,0.0
p5,16,stackedbar,46,40,2.6147
p5,17,stackedbar,37,30,2.8329
p5,18,stackedbar,85,80,2.3576
p5,19,stackedbar,89,70,4.2574
p5,20,stackedbar,33,30,1.6439
p5,21,bar,67,60,2.8329
p5,22,pie,86,100,3.8202
p5,23,stackedbar,77,80,1.6439
p5,24,stackedbar,52,50,1.0875
p5,25,stackedbar,94,90,2.0444
p5,26,pie,68,70,1.0875
p5,27,pie,37,35,1.0875
p5,28,pie,53,60,2.8329
p5,29,bar,91,90,0.1699
p5,30,pie,81,85,2.0444
p5,31,pie,81,80,0.1699
p5,32,bar,52,40,3.5999
p5,33,stackedbar,89,80,3.1898
p5,34,stackedbar,67,40,4.7616
p5,35,stackedbar,74,65,3.1898
p5,36,pie,37,45,3.0224
p5,37,bar,22,20,1.0875
p5,38,stackedbar,61,70,3.1898
p5,39,stackedbar,69,64,2.3576
p5,40,pie,86,90,2.0444
p5,41,bar,29,30,0.1699
p5,42,stackedbar,99,100,0.1699
p5,43,bar,29,30,0.1699
p5,44,pie,28,25,1.6439
p5,45,stackedbar,12,5,2.8329
p5,46,bar,20,20,0.0
p5,47,bar,68,70,1.0875
p5,48,pie,81,90,3.1898
p5,49,bar,26,20,2.6147
p5,50,bar,27,20,2.8329
p5,51,bar,53,55,1.0875
p5,52,pie,97,100,1.6439
p5,53,pie,28,20,3.0224
p5,54,stackedbar,52,45,2.8329
p5,55,stackedbar,33,30,1.6439
p5,56,pie,37,35,1.0875
p5,57,bar,61,70,3.1898
p5,58,bar,80,80,0.0
p5,59,bar,68,70,1.0875
p5,60,bar,40,40,0.0
p6,1,bar,77,70,2.8329
p6,2,stackedbar,46,30,4.0112
p6,3,pie,60,60,0.0
p6,4,stackedbar,52,35,4.098
p6,5,pie,86,90,2.0444
p6,6,stackedbar,66,60,2.6147
p6,7,stackedbar,69,60,3.1898
p6,8,pie,67,50,4.098
p6,9,stackedbar,45,55,3.3399
p6,10,pie,55,65,3.3399
p6,11,bar,80,80,0.0
p6,12,bar,60,60,0.0
p6,13,pie,86,83,1.6439
p6,14,stackedbar,46,40,2.6147
p6,15,pie,43,40,1.6439
p6,16,stackedbar,37,50,3.7142
p6,17,stackedbar,40,23,4.098
p6,18,bar,20,20,0.0
p6,19,stackedbar,80,80,0.0
p6,20,pie,60,60,0.0
p6,21,bar,88,90,1.0875
p6,22,bar,27,25,1.0875
p6,23,pie,86,90,2.0444
p6,24,pie,97,95,1.0875
p6,25,bar,88,90,1.0875
p6,26,bar,67,70,1.6439
p6,27,stackedbar,74,60,3.8202
p6,28,stackedbar,46,15,4.96
p6,29,bar,60,60,0.0
p6,30,bar,64,70,2.6147
p6,31,bar,27,30,1.6439
p6,32,stackedbar,46,30,4.0112
p6,33,stackedbar,74,80,2.6147
p6,34,pie,25,30,2.3576
p6,35,pie,65,60,2.3576
p6,36,bar,69,70,0.1699
p6,37,stackedbar,54,50,2.0444
p6,38,pie,86,80,2.6147
p6,39,bar,29,30,0.1699
p6,40,bar,61,58,1.6439
p6,41,pie,76,70,2.6147
p6,42,pie,77,70,2.8329
p6,43,bar,53,50,1.6439
p6,44,stackedbar,27,20,2.8329
p6,45,pie,97,100,1.6439
p6,46,pie,95,100,2.3576
p6,47,bar,18,10,3.0224
p6,48,stackedbar,46,50,2.0444
p6,49,bar,16,20,2.0444
p6,50,pie,68,70,1.0875
p6,51,pie,85,74,3.4757
p6,52,bar,77,80,1.6439
p6,53,stackedbar,67,60,2.8329
p6,54,bar,67,70,1.6439
p6,55,stackedbar,57,50,2.8329
p6,56,stackedbar,69,40,4.8642
p6,57,pie,86,90,2.0444
p6,58,bar,61,60,0.1699
p6,59,pie,35,50,3.9189
p6,60,stackedbar,40,40,0.0
p7,1,stackedbar,46,40,2.6147
p7,2,stackedbar,77,80,1.6439
p7,3,bar,77,80,1.6439
p7,4,pie,97,80,4.098
p7,5,bar,22,25,1.6439
p7,6,stackedbar,46,25,4.4009
p7,7,stackedbar,87,80,2.8329
p7,8,stackedbar,46,20,4.7074
p7,9,stackedbar,66,60,2.6147
p7,10,stackedbar,80,70,3.3399
p7,11,stackedbar,33,30,1.6439
p7,12,pie,65,70,2.3576
p7,13,pie,65,70,2.3576
p7,14,bar,61,60,0.1699
p7,15,stackedbar,27,17,3.3399
p7,16,stackedbar,55,60,2.3576
p7,17,bar,92,96,2.0444
p7,18,bar,54,50,2.0444
p7,19,pie,37,30,2.8329
p7,20,stackedbar,48,30,4.1799
p7,21,stackedbar,60,27,5.0498
p7,22,pie,86,90,2.0444
p7,23,bar,86,84,1.0875
p7,24,stackedbar,66,50,4.0112
p7,25,pie,97,100,1.6439
p7,26,pie,35,45,3.3399
p7,27,bar,68,70,1.0875
p7,28,stackedbar,40,60,4.3309
p7,29,pie,81,90,3.1898
p7,30,bar,80,70,3.3399
p7,31,bar,61,60,0.1699
p7,32,pie,81,80,0.1699
p7,33,bar,86,85,0.1699
p7,34,stackedbar,94,93,0.1699
p7,35,pie,84,80,2.0444
p7,36,bar,18,15,1.6439
p7,37,pie,86,70,4.0112
p7,38,pie,97,100,1.6439
p7,39,pie,81,90,3.1898
p7,40,pie,60,65,2.3576
p7,41,bar,60,60,0.0
p7,42,pie,86,90,2.0444
p7,43,bar,67,60,2.8329
p7,44,bar,40,40,0.0
p7,45,stackedbar,60,50,3.3399
p7,46,pie,76,76,0.0
p7,47,stackedbar,72,80,3.0224
p7,48,bar,23,20,1.6439
p7,49,pie,77,80,1.6439
p7,50,bar,75,80,2.3576
p7,51,pie,86,90,2.0444
p7,52,pie,60,40,4.3309
p7,53,stackedbar,12,5,2.8329
p7,54,bar,68,70,1.0875
p7,55,bar,54,50,2.0444
p7,56,bar,52,50,1.0875
p7,57,stackedbar,67,60,2.8329
p7,58,pie,35,20,3.9189
p7,59,bar,64,70,2.6147
p7,60,stackedbar,45,50,2.3576
p8,1,stackedbar,46,40,2.6147
p8,2,stackedbar,31,20,3.4757
p8,3,stackedbar,89,95,2.6147
p8,4,bar,67,60,2.8329
p8,5,stackedbar,80,80,0.0
p8,6,bar,88,90,1.0875
p8,7,pie,92,90,1.0875
p8,8,stackedbar,61,65,2.0444
p8,9,stackedbar,55,48,2.8329
p8,10,pie,81,80,0.1699
p8,11,pie,37,52,3.9189
p8,12,pie,89,90,0.1699
p8,13,bar,92,100,3.0224
p8,14,stackedbar,46,50,2.0444
p8,15,pie,97,99,1.0875
p8,16,bar,52,50,1.0875
p8,17,bar,40,40,0.0
p8,18,pie,92,90,1.0875
p8,19,bar,80,80,0.0
p8,20,pie,55,60,2.3576
p8,21,stackedbar,99,90,3.1898
p8,22,pie,53,65,3.5999
p8,23,bar,77,75,1.0875
p8,24,bar,68,70,1.0875
p8,25,stackedbar,61,70,3.1898
p8,26,bar,73,80,2.8329
p8,27,stackedbar,55,88,5.0498
p8,28,stackedbar,46,13,5.0498
p8,29,bar,24,25,0.1699
p8,30,bar,69,70,0.1699
p8,31,pie,65,55,3.3399
p8,32,bar,68,60,3.0224
p8,33,bar,68,65,1.6439
p8,34,bar,88,90,1.0875
p8,35,bar,53,50,1.6439
p8,36,stackedbar,57,50,2.8329
p8,37,bar,61,65,2.0444
p8,38,pie,37,30,2.8329
p8,39,pie,77,75,1.0875
p8,40,pie,55,60,2.3576
p8,41,pie,85,80,2.3576
p8,42,bar,54,58,2.0444
p8,43,stackedbar,56,50,2.6147
p8,44,bar,61,60,0.1699
p8,45,stackedbar,46,60,3.8202
p8,46,pie,81,75,2.6147
p8,47,stackedbar,86,90,2.0444
p8,48,stackedbar,27,10,4.098
p8,49,pie,39,20,4.2574
p8,50,stackedbar,66,65,0.1699
p8,51,bar,27,25,1.0875
p8,52,pie,88,90,1.0875
p8,53,stackedbar,33,40,2.8329
p8,54,pie,37,20,4.098
p8,55,bar,91,84,2.8329
p8,56,stackedbar,72,60,3.5999
p8,57,stackedbar,40,20,4.3309
p8,58,pie,93,80,3.7142
p8,59,pie,28,40,3.5999
p8,60,pie,66,60,2.6147
